ID	Title	TaxID	Taxname	project type	geo loc name	isolation source	environment	host	Host	Artificial	Aqua	Freshwater	Groundwater	Spring	Bog	Pond	Hydrothermal	Lagoon	Acidmine	Ice	Brackish	Marine	Soil	Sediment	Modified	Extreme	Biofilm	Metagenome	SingleCell	Warning	Ambiguous	Hypersaline
SAMEA6947030	MAG Erken-D9_bin-0187 from assembly ERS4600400	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Sweden|Uppsala	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6947195	MAG LJ-7-9m_bin-0281 from assembly ERS4600459	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Finland|Evo	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6947412	MAG Erken-D8_bin-1055 from assembly ERS4600399	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Sweden|Uppsala	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6947504	MAG Erken-D11_bin-0770 from assembly ERS4600392	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Sweden|Uppsala	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6948800	MAG Erken-D7_bin-0141 from assembly ERS4600398	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Sweden|Uppsala	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6949256	MAG LJ-5-9m_bin-0455 from assembly ERS4600458	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Finland|Evo	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6949477	MAG Erken-D4_bin-1272 from assembly ERS4600395	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Sweden|Uppsala	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6949537	MAG UppL4_bin-921 from assembly ERS4600574	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Sweden|Uppsala	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6950619	MAG UppL6_bin-1277 from assembly ERS4600576	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Sweden|Uppsala	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6950843	MAG Erken-D5_bin-0001 from assembly ERS4600396	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Sweden|Uppsala	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6951055	MAG Erken-D10_bin-0675 from assembly ERS4600391	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Sweden|Uppsala	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6951792	MAG Loclat_bin-08429 from assembly ERS4649301	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Switzerland|Neuchâtel	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6952216	MAG KR_bin-1684 from assembly ERS4649290	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Finland|Evo	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6952403	MAG ErkenSummer_bin-0936 from assembly ERS4649283	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Sweden|Uppsala	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6953405	MAG UppL5_bin-1100 from assembly ERS4600575	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Sweden|Uppsala	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA6956772	MAG LJ_bin-0144 from assembly ERS4649297	239992	uncultured Nitrosomonadales bacterium	lake water metagenome	Finland|Evo	lake water	lentic water body|lake|water		0	0	5	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMN16426323	MIMAG Metagenome-assembled Genome sample from Nitrosomonadales bacterium	2026761	Nitrosomonadales bacterium	metagenomic assembly|activated sludge metagenome|1	Denmark: Odense NE	activated sludge from OdNE_18-Q3-R46-58	aquatic biome [ENVO:00002030]|Waste Water [ENVO:00002001]|Activated Sludge [ENVO:00002046]		0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0
SAMN16426478	MIMAG Metagenome-assembled Genome sample from Nitrosomonadales bacterium	2026761	Nitrosomonadales bacterium	metagenomic assembly|activated sludge metagenome|1	Denmark: Skive	activated sludge from Skiv_18-Q3-R9-52	aquatic biome [ENVO:00002030]|Waste Water [ENVO:00002001]|Activated Sludge [ENVO:00002046]		0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	5	0	0	0	0
SAMN16622482	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	2022770	Candidatus Nitrotoga sp.	metagenomic assembly|freshwater metagenome|1	USA: Lake Ontario	freshwater lake	lake|offshore|water column		0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMN16622483	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	2022770	Candidatus Nitrotoga sp.	metagenomic assembly|freshwater metagenome|1	USA: Lake Ontario	freshwater lake	lake|offshore|water column		0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMN16622486	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	2022770	Candidatus Nitrotoga sp.	metagenomic assembly|freshwater metagenome|1	USA: Lake Michigan	freshwater lake	lake|offshore|water column		0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMN16622487	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	2022770	Candidatus Nitrotoga sp.	metagenomic assembly|freshwater metagenome|1	USA: Lake Erie	freshwater lake	lake|offshore|water column		0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
SAMEA7993254	Nitrotoga enrichment culture	2184309	Candidatus Nitrotoga sp. CP45						0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SAMN20994864	MIMAG Metagenome-assembled Genome sample from Betaproteobacteria bacterium	1891241	Betaproteobacteria bacterium	metagenomic assembly|freshwater metagenome|1	France: Neuville, Lake Fargette	size-fractionated lake water incubated for 31 months	freshwater lake microbiome|not applicable|not applicable		0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0
SAMEA10456467	Candidatus Nitrotoga arctica 6680	453162	Candidatus Nitrotoga arctica			permafrost soil			0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
SAMEA10557548	Candidatus Nitrotoga sp. HW29	2886963	Candidatus Nitrotoga sp. HW29			biofilm sample of a freshwater recirculation aquaculture system			0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
SAMEA10774148	Candidatus Nitrotoga sp. 1052	2886964	Candidatus Nitrotoga sp. 1052			permafrost soil			0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
SAMEA12171356	Candidatus Nitrotoga sp. BS	2890408	Candidatus Nitrotoga sp. BS			activated sludge of the WWTP in Hamburg-Dradenau (Germany)			0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
SAMEA12177564	Candidatus Nitrotoga sp. M5	2890409	Candidatus Nitrotoga sp. M5			carrier material marine RAS			0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
SAMN27163929	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	2022770	Candidatus Nitrotoga sp.	metagenomic assembly|estuary metagenome|1	China:Esturies of South China	estuarine open water surface layer	estuarine biome [ENVO:01000020]|estuarine open water surface layer [ENVO:01001315]|estuarine water [ENVO:01000301]		0	0	3	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	0	0	0
SAMEA110379994	ERS4065090	2184309	Candidatus Nitrotoga sp. CP45	freshwater metagenome	Czech Republic	Freshwater lake	freshwater lake|fresh water|lake		0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SAMEA110380221	ERS6344555	2184309	Candidatus Nitrotoga sp. CP45	freshwater metagenome	Czech Republic	Freshwater lake	freshwater lake|fresh water|lake		0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SAMEA110380626	ERS4065063	1945880	Nitrosovibrio sp. Nv4	freshwater metagenome	Switzerland	Freshwater lake	freshwater lake|fresh water|lake		0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SAMN30026398	MIMAG Metagenome-assembled Genome sample from Pseudomonadota bacterium	1977087	Pseudomonadota bacterium	metagenomic assembly metagenomic assembly|freshwater metagenome|1	France: Besse-et-Saint-Anastaise, Lac Pavin	lake water column	lake water column microbiome|not applicable|not applicable		0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
SAMN30026399	MIMAG Metagenome-assembled Genome sample from Pseudomonadota bacterium	1977087	Pseudomonadota bacterium	metagenomic assembly metagenomic assembly|freshwater metagenome|1	France: Besse-et-Saint-Anastaise, Lac Pavin	lake water column	lake water column microbiome|not applicable|not applicable		0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0
SAMEA112174291	RE-4nov15-90	2026761	Nitrosomonadales bacterium	lake water metagenome	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome		0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SAMEA112174445	RE-9nov16-380	2026761	Nitrosomonadales bacterium	lake water metagenome	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome		0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SAMEA112174652	RH-14apr17-528	2026761	Nitrosomonadales bacterium	lake water metagenome	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome		0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SAMEA112174773	RH-15aug16-279	2026761	Nitrosomonadales bacterium	lake water metagenome	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome		0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SAMEA112174961	RH-18aug17-350	2026761	Nitrosomonadales bacterium	lake water metagenome	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome		0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SAMEA112175277	RH-23may17-230	2026761	Nitrosomonadales bacterium	lake water metagenome	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome		0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SAMEA112175555	RH-26jul17-104	2026761	Nitrosomonadales bacterium	lake water metagenome	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome		0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SAMEA112175921	RH-9nov16-128	2026761	Nitrosomonadales bacterium	lake water metagenome	Czech Republic	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome		0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SAMEA112176699	ZH-13may13-27	2026761	Nitrosomonadales bacterium	lake water metagenome	Switzerland	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome		0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SAMEA112176730	ZH-15may19-102	2026761	Nitrosomonadales bacterium	lake water metagenome	Switzerland	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome		0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SAMEA112176888	ZH-3nov15-146	2026761	Nitrosomonadales bacterium	lake water metagenome	Switzerland	lake water	freshwater ecosystem|freshwater lake biome|freshwater lake biome		0	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SAMEA112657731	uncultured Candidatus Nitrotoga sp KLAP52	546216	uncultured Candidatus Nitrotoga sp.	biofilm metagenome	Sweden|Klagshman WWTP	Biofilm from a full-scale sidestream partial nitritation anammox MBBR	wastewater treatment plant (ENVO:00002043)|waste water (ENVO:00002001)|biofilm (ENVO_00002034)		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	2	0	0	0	0
SAMEA110030094	ERS11712896	519	Bordetella parapertussis	freshwater metagenome	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SAMEA110041619	ERS11712897	1335060	Rhizobium sp. Q54	freshwater metagenome	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SAMEA14434446	ERS11712879	96345	Flavobacterium psychrophilum	freshwater metagenome	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SAMEA14434507	ERS11712880	1945880	Nitrosovibrio sp. Nv4	freshwater metagenome	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SAMEA14434957	ERS11712892	79329	Chitinophaga pinensis	freshwater metagenome	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SAMEA14435023	ERS11712894	1945880	Nitrosovibrio sp. Nv4	freshwater metagenome	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SAMEA14435121	ERS11712895	1945880	Nitrosovibrio sp. Nv4	freshwater metagenome	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
SAMN36304317	MIMAG Metagenome-assembled Genome sample from Gallionellaceae bacterium	2052162	Gallionellaceae bacterium	metagenomic assembly|groundwater metagenome|1	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater		0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
SAMN36304472	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	2022770	Candidatus Nitrotoga sp.	metagenomic assembly|groundwater metagenome|1	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater		0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
SAMN36304505	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	2022770	Candidatus Nitrotoga sp.	metagenomic assembly|groundwater metagenome|1	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater		0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
SAMN36729490	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	2022770	Candidatus Nitrotoga sp.	metagenomic assembly|groundwater metagenome|1	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater		0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
SAMN36729575	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	2022770	Candidatus Nitrotoga sp.	metagenomic assembly|groundwater metagenome|1	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater		0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
SAMN36730174	MIMAG Metagenome-assembled Genome sample from Candidatus Nitrotoga sp.	2022770	Candidatus Nitrotoga sp.	metagenomic assembly|groundwater metagenome|1	Canada: Alberta	groundwater	groundwater|Alberta groundwater|groundwater		0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
SAMEA110052864	ERS11712893	1945880	Nitrosovibrio sp. Nv4	freshwater metagenome	Czech Republic	Freshwater lake	freshwater lake|lake|fresh water		0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
