ID	Title	Name	Dec	Type	Host	Artificial	Aqua	Freshwater	Groundwater	Spring	Bog	Pond	Hydrothermal	Lagoon	Acidmine	Ice	Brackish	Marine	Soil	Sediment	Modified	Extreme	Biofilm	Metagenome	SingleCell	Warning	Ambiguous	Hypersaline
PRJEB38681	Comprehensive dataset of shotgun metagenomes from stratified freshwater lakes and ponds		Stratified lakes and ponds that feature steep oxygen gradients are known to be significant net sources of greenhouse gases and hotspots in the carbon cycle. Despite their significant biogeochemical roles, the resident microbial communities, especially in the oxygen depleted hypolimnetic compartments are poorly known. In this paper, we present a comprehensive metagenome dataset including shotgun metagenomes from around 30 stratified lakes and ponds mainly located in the boreal and subarctic regions, but also including one reservoir from tropical Puerto Rico and one Swiss lake from the temperate zone. For most lakes and ponds, the data includes a vertical sample set spanning the oxic surface waters to anoxic bottom layers. In addition to the metagenomic sequences, the dataset includes environmental variables for the samples, such as oxygen, nutrient and carbon concentrations. The dataset is ideal for further exploring the microbial taxonomic and functional diversity in freshwater  environments and climate change impacts on the functioning of these ecosystems.	eMonoisolate	0	0	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
PRJNA700657	Alberta groundwater Metagenome	Alberta groundwater	Investigate the microbial diversity and functions in the Alberta groundwater	eEnvironment	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PRJEB42911	Nitrotoga genome		A high quality Nitrotoga genome(Metagenome-Assembled Genome) was obtained from a nitrite-oxidizing enrichment culture originated from coastal sediment samples.	eMonoisolate	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0
PRJNA730330	Estuarine ecology		metagenomic study of estuaries	eMultispecies	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
PRJNA757735	Microbial communities associated with aster-like nanoparticles (ALNs) Genome sequencing and assembly	Microbial communities associated with aster-like nanoparticles (ALNs)	Microbial communities drawn from Lake Fargette (France) were incubated for a period of 31 months. At the end of the experiment, DNA and RNA were extracted and sequenced with Illumina NovaSeq. Subsequently, genomes from metagenomes were assembled and binned from metagenomic DNA.	eEnvironment	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PRJEB48217	Physiological and genomic characterization of five cold-tolerant nitrite-oxidizing Nitrotoga strains		Chemolithoautotrophic production of nitrate is accomplished by the polyphyletic functional group of nitrite-oxidizing bacteria (NOB). A widely distributed and important NOB type in cold nitrogen removal systems is Nitrotoga, which however remains understudied due to the scarcity of cultivated representatives. Here, we present genomic features of five Nitrotoga strains from various habitats, including the first obligate marine species enriched from an aquaculture system. Comparative analysis of the Nitrotoga genomes showed, e.g., a unique gene repertoire of the marine strain that could be advantageous in its natural habitat and confirmed the lack of genes for assimilatory nitrite reduction in a strain found to require ammonium for growth. Overall, these data largely broaden our knowledge of Nitrotoga and elucidates the ecological role of this group of nitrite oxidizers.	eMonoisolate	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0
PRJNA852163	Microbial communities from the meromictic Lac Pavin	freshwater/sediment metagenome	Microbial communities from the water column and shallow sediments of Lac Pavin (France) were sampled across a three year time course (2017-2019). DNA was extracted and sequenced with Illumina HiSeq/NovaSeq. Subsequently, bacterial, archaeal, and viral genomes from metagenomes were assembled, binned, and characterized.	eEnvironment	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
PRJEB35640	Freshwater metagenomes from different European and Asian lakes	Freshwater metagenomes from different European and Asian lakes	This study describes the microbial communities of different lakes in Europe and Asia using high throughput sequencing. Water samples from different depths representing the epi- and hypolimnion were taken at the deepest part of the lakes. 1-4 L of water were prefiltered through a plankton net (20 μm) and a 5-μm filter and then filtered onto polysulfone filters with a pore size of 0.22 μm. DNA was extracted from the 0.22 μm filter (small, planktonic fraction) to obtain genomic DNA of the microbial community.	eMonoisolate	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
PRJEB58181	Partial nitritation anammox biofilm colonization	Biofilm colonization and succession in a full-scale partial nitritation-anammox moving bed biofilm bioreactor	Partial nitritation anammox (PNA) is a biological nitrogen removal process commonly used in wastewater treatment plants during treatment of the warm and nitrogen rich sludge liquor from anaerobic digestion, also known as sidestream wastewater. In these systems biofilms are frequently used to retain biomass from ammonia oxidizing bacteria and anammox bacteria, which together convert ammonium to nitrogen gas. Little is known about how these biofilm communities develop, and whether knowledge about the assembly of biofilm in natural communities can be applied to PNA biofilms. In this study the start-up of full-scale PNA moving bed biofilm reactor was followed for 175 days using shotgun metagenomics. Environmental filtering likely restricted initial biofilm colonization, resulting in low phylogenetic diversity, with the initial microbial community comprised mainly of Proteobacteria. Facilitative priority effects allowed further biofilm colonization, with growth of the initial colonizers facilitating the arrival and growth of anaerobic taxa like methanogens and anammox bacteria. Among the early colonizers were known ‘oligotrophic’ ammonia oxidizers including commamox and Nitrosomonas cluster 6a. Increasing the nitrogen load in the bioreactor allowed colonization by ‘eutrophic’ Nitrosomonas cluster 7 and resulted in the exclusion of the initial ammonia oxidizers and nitrite oxidizers. The results of this study not only contribute to our knowledge about biofilm assembly and PNA bioreactor start-up but could also help guide strategies for the successful implementation of PNA bioreactors.	eMonoisolate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0
PRJEB52406	High resolution sampling of freshwater reservoir in Czech Republic	High Resolution Sampling of Rimov reservoir	A high-resolution sampling of Rimov reservoir during the spring of 2018.Samples were taken from 03.Apr.2018 to 09.May.2018 at 0.5m and 30m and filtered using three different filter sizes (5um, 0.8um, and 0.22um )	eMonoisolate	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
